time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-24T23:26:54.375Z,-59.8418,-25.4904,10,5,mb,,89,8.176,0.68,us,us7000f3f9,2021-08-24T23:46:11.040Z,"South Sandwich Islands region",earthquake,9.2,1.9,0.08,49,reviewed,us,us
2021-08-24T23:17:05.100Z,38.5436667,-119.4575,3.93,2.52,md,20,73,0.04212,0.09,nc,nc73614951,2021-08-26T20:11:13.972Z,"28km SSW of Smith Valley, NV",earthquake,0.23,0.38,0.18,39,reviewed,nc,nc
2021-08-24T21:10:06.246Z,-16.9675,-69.5824,188.6,4.2,mb,,120,0.626,1.17,us,us7000f3dx,2021-08-25T19:58:04.176Z,"28 km SSE of Mazo Cruz, Peru",earthquake,8.3,4.9,0.187,8,reviewed,us,us
2021-08-24T20:47:54.410Z,19.3845,-155.279166666667,1.49,2.73,ml,22,60,,0.1,hv,hv72667177,2021-08-24T20:57:13.080Z,"8 km SW of Volcano, Hawaii",earthquake,0.17,0.22,0.111315449011438,11,reviewed,hv,hv
2021-08-24T19:54:47.573Z,29.4744873,-96.9464614,8.26570638,2.7,ml,18,164,0.1979495643,0.3,tx,tx2021qowq,2021-08-25T15:27:57.604Z,"3 km N of Hallettsville, Texas",earthquake,2.843401996,2.898094798,0.2,11,reviewed,tx,tx
2021-08-24T19:49:35.473Z,52.5996,-168.2868,47.9,4.2,mb,,151,0.508,0.91,us,us7000f3cs,2021-08-24T22:18:20.040Z,"54 km SE of Nikolski, Alaska",earthquake,5.3,7.8,0.063,70,reviewed,us,us
2021-08-24T19:39:37.223Z,-12.3196,-77.3229,34.56,4.4,mb,,157,0.574,0.4,us,us7000f3cq,2021-08-25T12:41:03.927Z,"36 km SW of Callao, Peru",earthquake,5.2,7.8,0.123,23,reviewed,us,us
2021-08-24T19:38:03.674Z,27.3843,129.426,10,5,mww,,90,1.164,0.98,us,us7000f3cn,2021-08-24T20:02:53.040Z,"109 km S of Naze, Japan",earthquake,6.1,1.9,0.098,10,reviewed,us,us
2021-08-24T19:36:54.920Z,17.883,-66.8623,7,2.98,md,20,214,0.2014,0.17,pr,pr2021236011,2021-08-24T19:55:31.554Z,"10 km SSE of Maria Antonia, Puerto Rico",earthquake,0.52,0.35,0.18,19,reviewed,pr,pr
2021-08-24T19:15:00.870Z,19.2568,-67.252,5,3.24,md,11,291,0.8018,0.26,pr,pr2021236010,2021-08-24T21:16:15.040Z,"86 km N of San Antonio, Puerto Rico",earthquake,8.95,8.99,0.08,6,reviewed,pr,pr
2021-08-24T19:14:08.617Z,-24.1731,-67.4699,234.66,4.3,mb,,181,1.378,1.7,us,us7000f3c9,2021-08-24T21:09:07.040Z,"117 km W of San Antonio de los Cobres, Argentina",earthquake,4,10.2,0.377,3,reviewed,us,us
2021-08-24T18:48:39.531Z,-60.5445,-24.8918,10,5,mb,,60,8.852,0.64,us,us7000f3c2,2021-08-25T15:15:02.040Z,"South Sandwich Islands region",earthquake,10.4,1.8,0.073,62,reviewed,us,us
2021-08-24T18:17:54.802Z,4.0982,126.6868,61.23,4.5,mb,,109,3.373,0.81,us,us7000f3c0,2021-08-24T20:33:32.040Z,"198 km SE of Sarangani, Philippines",earthquake,8.1,7.2,0.077,54,reviewed,us,us
2021-08-24T17:55:41.747Z,31.70282091,-104.1417965,6.645727539,2.7,ml,20,60,0.0722392915,0.2,tx,tx2021qoss,2021-08-24T19:14:32.040Z,"51 km W of Mentone, Texas",earthquake,0.9634087865,1.029290167,0.2,13,reviewed,tx,tx
2021-08-24T17:31:27.700Z,17.9473,-66.8821,14,2.5,md,11,198,0.1636,0.13,pr,pr2021236009,2021-08-24T17:52:56.120Z,"3 km SSE of Maria Antonia, Puerto Rico",earthquake,0.56,0.65,0.24,9,reviewed,pr,pr
2021-08-24T17:18:38.685Z,0.2706,96.4983,10,4.9,mb,,54,1.487,0.84,us,us7000f3bg,2021-08-24T17:59:06.040Z,"244 km S of Sinabang, Indonesia",earthquake,6.8,1.8,0.064,81,reviewed,us,us
2021-08-24T17:01:55.280Z,19.4013333333333,-155.266,0.55,2.56,md,26,77,,0.09,hv,hv72666502,2021-08-24T17:45:36.270Z,"5 km SW of Volcano, Hawaii",earthquake,0.18,0.18,0.136625134589403,6,reviewed,hv,hv
2021-08-24T16:48:29.143Z,-31.3688,-69.0348,112.24,4.3,mb,,136,0.347,0.69,us,us7000f3a2,2021-08-24T17:45:04.040Z,"34 km NW of Villa Basilio Nievas, Argentina",earthquake,7.4,6.1,0.266,4,reviewed,us,us
2021-08-24T16:48:13.431Z,32.0553,78.8134,10,4.7,mb,,154,4.93,0.55,us,us7000f3a5,2021-08-25T00:59:04.535Z,"113 km ENE of Sar?han, India",earthquake,9.8,1.9,0.069,68,reviewed,us,us
2021-08-24T16:47:07.454Z,69.9993,-144.7506,0,2.8,ml,,,,0.79,ak,ak021aukmxj5,2021-08-24T17:30:37.040Z,"45 km WSW of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-08-24T16:20:42.730Z,-30.8873,-72.782,10,4.3,mb,,152,1.009,0.61,us,us7000f39t,2021-08-24T18:17:09.040Z,"154 km WSW of Ovalle, Chile",earthquake,6.4,1.9,0.267,5,reviewed,us,us
2021-08-24T16:16:44.034Z,13.3965,-91.7091,10,5.6,mww,,98,2.213,1,us,us7000f39r,2021-08-25T16:20:19.036Z,"99 km SSW of Nueva Concepción, Guatemala",earthquake,8.1,1.9,0.098,10,reviewed,us,us
2021-08-24T15:47:10.340Z,19.0733,-64.8983,28,3.6,md,14,311,0.8568,0.25,pr,pr2021236008,2021-08-24T16:38:01.040Z,"81 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.8,16.58,0.14,7,reviewed,pr,pr
2021-08-24T15:23:45.829Z,35.11116667,-95.3725,6.62,3.73,ml,70,73,0,0.21,ok,ok2021qons,2021-08-25T15:26:36.172Z,"1 km S of Quinton, Oklahoma",earthquake,,0.4,0.18,12,reviewed,ok,ok
2021-08-24T14:52:01.526Z,-59.3295,-25.3275,58.45,4.9,mb,,187,7.937,0.5,us,us7000f30u,2021-08-24T15:56:13.040Z,"South Sandwich Islands region",earthquake,13.4,10.1,0.079,55,reviewed,us,us
2021-08-24T14:47:25.097Z,12.7268,145.0844,10,5.4,mww,,49,14.552,0.44,us,us7000f30t,2021-08-26T14:57:29.058Z,"70 km SSE of Inarajan Village, Guam",earthquake,10.9,1.8,0.066,22,reviewed,us,us
2021-08-24T14:10:07.308Z,-17.953,-178.3786,603.8,4.4,mb,,85,3.405,0.41,us,us7000f30i,2021-08-24T14:53:37.040Z,"244 km E of Levuka, Fiji",earthquake,9.8,6.9,0.032,283,reviewed,us,us
2021-08-24T13:27:13.534Z,49.9091,156.0912,98.59,4.4,mb,,134,3.357,0.44,us,us7000f30d,2021-08-24T14:22:52.040Z,"85 km S of Severo-Kuril’sk, Russia",earthquake,9.7,7.3,0.059,85,reviewed,us,us
2021-08-24T13:04:07.739Z,-7.0359,129.9179,126.08,4.3,mb,,49,1.661,0.61,us,us7000f304,2021-08-24T13:34:12.040Z,"Kepulauan Babar, Indonesia",earthquake,7.8,8.3,0.109,24,reviewed,us,us
2021-08-24T12:37:57.255Z,29.6633,141.5895,43.05,4.9,mb,,104,2.611,0.51,us,us7000f2zx,2021-08-24T13:02:21.040Z,"Izu Islands, Japan region",earthquake,7.6,3.4,0.061,84,reviewed,us,us
2021-08-24T12:30:22.331Z,69.1507,-144.6232,5.5,3.1,ml,,,,0.85,ak,ak021aui5l0g,2021-08-24T12:39:19.221Z,"116 km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-08-24T11:36:02.750Z,19.4098333333333,-155.286,-0.04,3.35,ml,27,50,,0.1,hv,hv72665502,2021-08-25T02:05:50.760Z,"6 km WSW of Volcano, Hawaii",earthquake,0.15,0.15,0.133437971113713,3,reviewed,hv,hv
2021-08-24T11:24:30.550Z,19.06,-67.1238,11,3.26,md,9,289,0.5926,0.22,pr,pr2021236007,2021-08-24T11:38:19.670Z,"Mona Passage",earthquake,1.94,2.94,0.06,4,reviewed,pr,pr
2021-08-24T11:06:59.061Z,-20.244,-69.1154,98.69,4.1,mb,,95,0.108,1.03,us,us7000f2z4,2021-08-24T22:06:04.010Z,"108 km E of Iquique, Chile",earthquake,5.9,7,0.37,2,reviewed,us,us
2021-08-24T10:20:20.228Z,35.7769,135.5038,357.75,4.2,mb,,45,1.314,0.55,us,us7000f2yu,2021-08-24T12:25:35.040Z,"western Honshu, Japan",earthquake,8.9,6.9,0.04,176,reviewed,us,us
2021-08-24T10:12:01.860Z,19.405834197998,-155.495498657227,1.16999995708466,2.8499999,md,7,178,,0.189999998,hv,hv72665282,2021-08-24T10:17:32.560Z,"22 km N of P?hala, Hawaii",earthquake,1.23,7.23999977,1.88999999,3,automatic,hv,hv
2021-08-24T10:11:54.390Z,19.3895,-155.273666666667,1.81,2.58,ml,46,57,,0.11,hv,hv72665277,2021-08-24T10:32:24.590Z,"7 km SW of Volcano, Hawaii",earthquake,0.15,0.13,0.153000380487074,20,reviewed,hv,hv
2021-08-24T09:33:57.573Z,13.5407,-91.8633,35,4,mb,,209,2.35,0.41,us,us7000f2yp,2021-08-24T13:33:26.040Z,"83 km S of Champerico, Guatemala",earthquake,7.1,2,0.106,24,reviewed,us,us
2021-08-24T08:16:53.915Z,-17.7289,-70.1228,109.43,4.4,mb,,168,0.628,1.02,us,us7000f2y6,2021-08-24T11:43:51.883Z,"17 km WNW of Palca, Peru",earthquake,8.3,6,0.169,10,reviewed,us,us
2021-08-24T08:16:05.713Z,42.95,-109.4807,5,3.1,ml,,93,0.191,0.77,us,us7000f2y5,2021-08-25T19:14:48.484Z,"Wyoming",earthquake,2.1,1.9,0.045,66,reviewed,us,us
2021-08-24T08:05:00.138Z,16.7747,-85.9061,10,4.6,mb,,42,3.006,0.63,us,us7000f2xz,2021-08-24T13:35:51.610Z,"36 km N of Guanaja, Honduras",earthquake,6.4,2,0.04,184,reviewed,us,us
2021-08-24T07:33:51.563Z,-7.3125,129.8957,125.6,4.4,mb,,52,1.541,1,us,us7000f2xh,2021-08-24T07:56:06.040Z,"Kepulauan Babar, Indonesia",earthquake,6.1,13.9,0.154,12,reviewed,us,us
2021-08-24T07:25:47.950Z,17.9511,-67.0183,10,2.93,md,20,218,0.0317,0.11,pr,pr2021236006,2021-08-24T07:58:59.604Z,"3 km SE of La Parguera, Puerto Rico",earthquake,0.47,0.28,0.26,8,reviewed,pr,pr
2021-08-24T07:19:11.572Z,-59.0778,-25.759,58.71,5.2,mb,,69,7.611,0.77,us,us7000f2xe,2021-08-24T07:39:31.040Z,"South Sandwich Islands region",earthquake,8.8,4.3,0.072,65,reviewed,us,us
2021-08-24T07:05:52.542Z,14.4395,82.9913,10,5.1,mb,,61,7.468,0.72,us,us7000f2x8,2021-08-25T15:53:03.674Z,"257 km SSE of R?zole, India",earthquake,8,1.8,0.054,110,reviewed,us,us
2021-08-24T05:37:51.181Z,48.8152,154.9559,30.96,6,mww,,80,4.634,0.59,us,us7000f2ws,2021-08-25T20:13:23.040Z,"223 km SSW of Severo-Kuril’sk, Russia",earthquake,7.9,3.7,0.042,55,reviewed,us,us
2021-08-24T04:19:07.110Z,17.924,-67.1476,38,2.51,md,9,306,0.0907,0.14,pr,pr2021236004,2021-08-24T07:58:23.460Z,"6 km SE of Pole Ojea, Puerto Rico",earthquake,2.76,2.98,0.08,4,reviewed,pr,pr
2021-08-24T04:08:12.710Z,17.9498,-67.0181,11,3.33,md,23,218,0.0327,0.09,pr,pr2021236003,2021-08-25T02:07:52.040Z,"4 km SE of La Parguera, Puerto Rico",earthquake,0.42,0.25,0.27,20,reviewed,pr,pr
2021-08-24T03:50:41.720Z,44.5442,147.6514,114.68,4.5,mb,,94,3.654,0.73,us,us7000f2w5,2021-08-25T01:32:46.040Z,"77 km SSW of Kuril’sk, Russia",earthquake,9.5,7.5,0.044,150,reviewed,us,us
2021-08-24T03:26:37.190Z,19.0518,-67.685,58,3.8,md,26,221,0.8189,0.64,pr,pr2021236005,2021-08-25T01:56:02.040Z,"87 km NW of San Antonio, Puerto Rico",earthquake,3.68,9.46,0.11,19,reviewed,pr,pr
2021-08-24T02:45:19.143Z,40.0499,77.1706,10,4.2,mb,,72,1.646,0.85,us,us7000f2vk,2021-08-25T02:20:52.040Z,"119 km ENE of Kashgar, China",earthquake,4,2,0.198,7,reviewed,us,us
2021-08-24T02:15:10.300Z,25.1097,96.2564,10,4.6,mb,,73,1.983,0.59,us,us7000f2vd,2021-08-24T21:26:59.040Z,"118 km WSW of Myitkyina, Myanmar",earthquake,8.6,1.9,0.079,48,reviewed,us,us
2021-08-24T01:20:30.000Z,18.8148,-66.0865,39,3.18,md,19,232,0.5058,0.13,pr,pr2021236001,2021-08-24T02:50:41.289Z,"38 km N of San Juan, Puerto Rico",earthquake,0.57,1.89,0.15,13,reviewed,pr,pr
2021-08-24T01:01:42.890Z,17.8376,-66.869,10,2.69,md,14,228,0.2193,0.09,pr,pr2021236000,2021-08-24T01:29:52.305Z,"15 km SSE of Guánica, Puerto Rico",earthquake,0.4,0.56,0.14,5,reviewed,pr,pr
2021-08-23T23:14:13.759Z,21.6875,143.03,291.63,4.3,mb,,144,5.439,0.47,us,us7000f2tj,2021-08-23T23:30:16.040Z,"Mariana Islands region",earthquake,11.9,8.9,0.066,65,reviewed,us,us
2021-08-23T22:50:38.440Z,48.6006666666667,-121.962,2.81,2.5,ml,15,52,0.09428,0.21,uw,uw61761802,2021-08-26T02:35:08.040Z,"9 km NNE of Hamilton, Washington",earthquake,0.36,0.74,0.135591260398702,5,reviewed,uw,uw
2021-08-23T22:27:26.100Z,48.6003333333333,-121.953,2.44,2.77,ml,20,47,0.09846,0.18,uw,uw61761777,2021-08-26T02:25:19.040Z,"9 km NNE of Hamilton, Washington",earthquake,0.28,0.58,0.104429181055723,5,reviewed,uw,uw
2021-08-23T22:18:58.010Z,17.9235,-66.8853,8,3,md,21,212,0.1654,0.14,pr,pr2021235004,2021-08-23T22:46:46.596Z,"5 km SSE of Guánica, Puerto Rico",earthquake,0.53,0.88,0.11,16,reviewed,pr,pr
2021-08-23T21:55:43.920Z,33.1433333,-115.631,9.37,2.93,ml,68,36,0.0364,0.22,ci,ci40019504,2021-08-26T22:56:23.040Z,"11km W of Calipatria, CA",earthquake,0.18,0.43,0.199,26,reviewed,ci,ci
2021-08-23T21:02:24.452Z,-20.9101,-69.0752,107.68,4.9,mb,,42,0.407,0.92,us,us7000f2sh,2021-08-24T20:00:57.177Z,"136 km SE of Iquique, Chile",earthquake,3.4,6.1,0.067,70,reviewed,us,us
2021-08-23T20:59:53.555Z,1.8452,98.4569,82.03,4.7,mb,,115,0.963,0.86,us,us7000f2si,2021-08-24T12:26:44.040Z,"37 km WNW of Sibolga, Indonesia",earthquake,8.7,6.7,0.065,72,reviewed,us,us
2021-08-23T20:49:03.107Z,-35.5198,-73.4922,10,4.3,mb,,196,1.249,0.68,us,us7000f2sc,2021-08-24T13:21:56.834Z,"100 km WSW of Constitución, Chile",earthquake,5.6,2,0.217,6,reviewed,us,us
2021-08-23T19:43:51.312Z,-29.856,-178.586,184.4,4.8,mb,,68,8.109,0.57,us,us7000f2rw,2021-08-24T12:59:52.040Z,"Kermadec Islands, New Zealand",earthquake,12.1,7.1,0.047,139,reviewed,us,us
2021-08-23T19:28:54.702Z,56.4353,-148.7032,10,3.5,ml,,,,0.93,ak,ak021asyrwka,2021-08-23T20:57:09.181Z,"253 km ESE of Chiniak, Alaska",earthquake,,0,,,reviewed,ak,ak
2021-08-23T15:53:43.530Z,19.3925,-155.274,1.5,2.63,ml,44,55,,0.12,hv,hv72663162,2021-08-24T19:38:20.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.18,0.15,0.14685018980904,20,reviewed,hv,hv
2021-08-23T14:57:23.620Z,33.139,-115.6413333,7.16,4.04,mw,88,27,0.044,0.27,ci,ci40018784,2021-08-25T18:27:54.607Z,"12km N of Westmorland, CA",earthquake,0.18,0.49,,6,reviewed,ci,ci
2021-08-23T14:28:49.647Z,-60.4941,-24.8378,10,5,mb,,43,8.841,0.75,us,us6000fa1v,2021-08-23T16:04:54.040Z,"South Sandwich Islands region",earthquake,7.3,1.6,0.066,76,reviewed,us,us
2021-08-23T13:29:34.121Z,-59.7787,-26.5688,69.64,4.5,mb,,116,7.716,0.49,us,us6000fa1j,2021-08-23T14:12:41.040Z,"South Sandwich Islands region",earthquake,12.5,9.9,0.107,26,reviewed,us,us
2021-08-23T13:23:49.277Z,13.6002,-92.0396,10,4.4,mb,,203,2.519,0.71,us,us6000fa12,2021-08-23T13:56:00.040Z,"77 km S of Champerico, Guatemala",earthquake,5.9,2,0.047,129,reviewed,us,us
2021-08-23T13:07:41.120Z,55.9185,-148.6261,6.99,3.9,mb,,226,3.728,0.31,us,us6000fa0z,2021-08-23T16:39:17.121Z,"292 km SE of Chiniak, Alaska",earthquake,14.1,8.8,0.362,3,reviewed,us,us
2021-08-23T10:56:38.486Z,24.7069,122.3915,10,4.7,mb,,46,0.612,0.64,us,us6000fa0k,2021-08-23T12:42:35.040Z,"64 km E of Yilan, Taiwan",earthquake,2.5,1.9,0.086,41,reviewed,us,us
2021-08-23T10:43:43.146Z,64.1738,-149.5276,12.6,2.5,ml,,,,0.96,ak,ak021asti70x,2021-08-23T10:56:11.815Z,"18 km WSW of Clear, Alaska, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-08-23T10:13:03.698Z,18.0187,146.0894,122.62,4.6,mb,,79,4.558,0.64,us,us6000fa0j,2021-08-23T12:50:00.040Z,"Pagan region, Northern Mariana Islands",earthquake,11.1,8.1,0.045,146,reviewed,us,us
2021-08-23T09:18:00.050Z,19.9127,-106.0327,59.62,4.1,mb,,216,4.532,0.9,us,us6000f9zu,2021-08-23T13:03:13.040Z,"off the coast of Jalisco, Mexico",earthquake,13.2,14.7,0.076,47,reviewed,us,us
2021-08-23T08:57:58.194Z,-30.3004,-176.4499,10,4.7,mb,,86,8.45,0.79,us,us6000f9zn,2021-08-23T09:28:29.040Z,"Kermadec Islands region",earthquake,10.4,1.9,0.108,26,reviewed,us,us
2021-08-23T08:40:20.140Z,-11.2076,119.0427,10,4.9,mb,,46,4.054,0.63,us,us6000f9zf,2021-08-23T09:16:12.040Z,"217 km SW of Waingapu, Indonesia",earthquake,4,1.8,0.081,48,reviewed,us,us
2021-08-23T08:31:31.354Z,27.8682,139.8219,490.43,4.2,mb,,77,2.235,0.5,us,us6000f9ze,2021-08-23T08:56:44.040Z,"",earthquake,11.5,8,0.036,210,reviewed,us,us
2021-08-23T08:20:42.250Z,38.537,-119.4831667,6.6,3.05,ml,26,69,0.03199,0.07,nc,nc73614206,2021-08-24T02:40:03.317Z,"30km SSW of Smith Valley, NV",earthquake,0.18,0.25,0.285,28,reviewed,nc,nc
2021-08-23T07:19:31.275Z,34.0881,26.1665,10,4.7,mb,,142,1.593,0.72,us,us6000f9z1,2021-08-24T04:13:15.729Z,"109 km SSE of Ierápetra, Greece",earthquake,7.3,1.8,0.063,77,reviewed,us,us
2021-08-23T07:18:20.609Z,55.4021,-158.666,35,2.9,ml,,148,0.78,0.72,us,us6000f9yy,2021-08-23T07:53:54.040Z,"64 km SSE of Perryville, Alaska",earthquake,2.8,2,0.066,30,reviewed,us,us
2021-08-23T07:01:16.450Z,17.946,-67.0143,11,3.44,md,25,220,0.038,0.09,pr,pr2021235002,2021-08-24T07:03:12.486Z,"4 km SE of La Parguera, Puerto Rico",earthquake,0.48,0.28,0.27,24,reviewed,pr,pr
2021-08-23T06:02:58.142Z,-60.4336,-24.9028,10,5.2,mb,,33,9.757,0.55,us,us6000f9yc,2021-08-23T06:26:22.040Z,"South Sandwich Islands region",earthquake,9.9,1.8,0.06,92,reviewed,us,us
2021-08-23T05:24:11.304Z,44.3216,-115.1574,10,2.6,ml,,64,0.929,0.37,us,us6000f9y0,2021-08-23T15:33:44.160Z,"20 km WNW of Stanley, Idaho",earthquake,2.2,2,0.039,88,reviewed,us,us
2021-08-23T05:16:52.971Z,10.5463,92.1946,10,4.7,mb,,68,7.557,0.45,us,us6000f9ya,2021-08-23T06:30:13.040Z,"137 km SSW of Port Blair, India",earthquake,9,1.9,0.075,53,reviewed,us,us
2021-08-23T04:34:36.181Z,-22.6427,-174.2104,10,4.8,mb,,99,8.746,1.17,us,us6000f9xs,2021-08-23T05:07:38.040Z,"163 km SSE of ‘Ohonua, Tonga",earthquake,11,1.9,0.121,21,reviewed,us,us
2021-08-23T04:29:15.018Z,-22.1623,-67.3026,198.57,4.2,mb,,77,1.128,0.74,us,us6000f9xm,2021-08-23T05:17:50.040Z,"124 km NE of San Pedro de Atacama, Chile",earthquake,6.7,10.3,0.263,4,reviewed,us,us
2021-08-23T03:31:48.690Z,19.3011,-65.1488,63,3.89,md,13,301,1.0025,0.3,pr,pr2021235001,2021-08-23T04:13:33.430Z,"108 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.88,9.35,0.08,6,reviewed,pr,pr
2021-08-23T03:05:37.163Z,-60.4798,-25.0005,10,5.1,mb,,70,8.769,0.98,us,us6000f9x6,2021-08-23T03:22:43.040Z,"South Sandwich Islands region",earthquake,9.6,1.9,0.067,72,reviewed,us,us
2021-08-23T02:58:44.778Z,25.0853,-109.2677,10,4.4,mb,,129,3.476,0.78,us,us6000f9x1,2021-08-24T12:12:51.509Z,"61 km SSW of Topolobampo, Mexico",earthquake,8.6,1.9,0.042,161,reviewed,us,us
2021-08-23T01:52:57.490Z,19.0453,-67.118,7,3.7,md,25,225,0.5778,0.42,pr,pr2021235000,2021-08-23T11:24:51.778Z,"61 km N of Isabela, Puerto Rico",earthquake,1.49,1.66,0.11,22,reviewed,pr,pr
2021-08-23T01:24:23.048Z,40.8085,144.9825,10,4.7,mb,,135,1.826,0.81,us,us6000f9wd,2021-08-23T01:43:03.040Z,"245 km SSE of Kushiro, Japan",earthquake,7.3,1.6,0.052,114,reviewed,us,us
2021-08-23T00:56:31.778Z,-58.3215,-23.5008,10,5,mb,,71,8.274,0.79,us,us6000f9w0,2021-08-23T01:12:14.040Z,"South Sandwich Islands region",earthquake,10.1,1.9,0.069,68,reviewed,us,us
2021-08-22T23:27:12.194Z,18.5645,-73.6105,10,4.5,mb,,54,1.706,0.6,us,us6000f9vk,2021-08-22T23:56:48.352Z,"9 km NNE of Baradères, Haiti",earthquake,5.6,1.9,0.041,172,reviewed,us,us
2021-08-22T23:21:38.060Z,19.2201666666667,-155.400333333333,32.83,2.73,ml,52,148,,0.12,hv,hv72661782,2021-08-23T23:10:07.030Z,"8 km ENE of P?hala, Hawaii",earthquake,0.44,0.56,0.168659178783363,34,reviewed,hv,hv
